"","ID","time","depth","dt"
"411","T172062",2017-08-08 10:32:30,7,1.25
"412","T172062",2017-08-08 10:33:45,2.5,1.25
"413","T172062",2017-08-08 10:35:00,9.5,1.25
"414","T172062",2017-08-08 10:36:15,18.5,1.25
"415","T172062",2017-08-08 10:37:30,22.5,1.25
"416","T172062",2017-08-08 10:38:45,41,1.25
"417","T172062",2017-08-08 10:40:00,49.5,1.25
"418","T172062",2017-08-08 10:41:15,33,1.25
"419","T172062",2017-08-08 10:42:30,18.5,1.25
"420","T172062",2017-08-08 10:43:45,1.5,1.25
"421","T172062",2017-08-08 10:45:00,0.5,1.25
"422","T172062",2017-08-08 10:46:15,9.5,1.25
"423","T172062",2017-08-08 10:47:30,9.5,1.25
"424","T172062",2017-08-08 10:48:45,7,1.25
"425","T172062",2017-08-08 10:50:00,7,1.25
"426","T172062",2017-08-08 10:51:15,0.5,1.25
"427","T172062",2017-08-08 10:52:30,9.5,1.25
"428","T172062",2017-08-08 10:53:45,22.5,1.25
"429","T172062",2017-08-08 10:55:00,14.5,1.25
"430","T172062",2017-08-08 10:56:15,14.5,1.25
"431","T172062",2017-08-08 10:57:30,14.5,1.25
"432","T172062",2017-08-08 10:58:45,1.5,61.25
"433","T172062",2017-08-08 12:00:00,2,1.25
"434","T172062",2017-08-08 12:01:15,6.5,1.25
"435","T172062",2017-08-08 12:02:30,6.5,1.25
"436","T172062",2017-08-08 12:03:45,6.5,1.25
"437","T172062",2017-08-08 12:05:00,2,1.25
"438","T172062",2017-08-08 12:06:15,6.5,1.25
"439","T172062",2017-08-08 12:07:30,2,1.25
"440","T172062",2017-08-08 12:08:45,2,1.25
"441","T172062",2017-08-08 12:10:00,6.5,1.25
"442","T172062",2017-08-08 12:11:15,2,1.25
"443","T172062",2017-08-08 12:12:30,6.5,1.25
"444","T172062",2017-08-08 12:13:45,6.5,1.25
"445","T172062",2017-08-08 12:15:00,6.5,1.25
"446","T172062",2017-08-08 12:16:15,31,1.25
"447","T172062",2017-08-08 12:17:30,39.5,1.25
"448","T172062",2017-08-08 12:18:45,48.5,1.25
"449","T172062",2017-08-08 12:20:00,61.5,1.25
